yearID,round,teamIDwinner,lgIDwinner,teamIDloser,lgIDloser,wins,losses,ties
1950,WS,LTO,NL,SKR,AL,4,2,0
1951,WS,YMG,AL,SBH,NL,4,1,0
1952,WS,YMG,AL,SBH,NL,4,2,0
1953,WS,YMG,AL,SBH,NL,4,2,0
1954,WS,CHD,AL,SBL,NL,4,3,0
1955,WS,YMG,AL,SBH,NL,4,3,0
1956,WS,SBL,NL,YMG,AL,4,2,0
1958,WS,SBL,NL,YMG,AL,4,3,0
1961,WS,YMG,AL,SBH,NL,4,2,0
1962,WS,TOF,NL,HNT,AL,4,2,0
1963,WS,YMG,AL,SBL,NL,4,3,0
1964,WS,SBH,NL,HNT,AL,4,3,0
1965,WS,YMG,AL,SBH,NL,4,1,0
1966,WS,YMG,AL,SBH,NL,4,2,0
1967,WS,YMG,AL,HKB,NL,4,2,0
1968,WS,YMG,AL,HKB,NL,4,2,0
1969,WS,YMG,AL,HKB,NL,4,2,0
1970,WS,YMG,AL,LTO,NL,4,1,0
1971,WS,YMG,AL,HKB,NL,4,1,0
1972,WS,YMG,AL,HKB,NL,4,1,0
1973,DS,SBH,NL,HKB,NL,3,2,0
1973,WS,YMG,AL,SBH,NL,4,1,0
1974,WS,LTO,NL,CHD,AL,4,2,0
1975,DS,HKB,NL,OBF,NL,3,1,0
1976,WS,HKB,NL,YMG,AL,4,3,0
1977,DS,HKB,NL,LTO,NL,3,2,0
1977,WS,HKB,NL,YMG,AL,4,1,0
1978,WS,YKS,AL,HKB,NL,4,3,0
1979,WS,HRC,AL,OBF,NL,4,3,0
1980,WS,HRC,AL,OBF,NL,4,3,0
1981,DS,NPH,NL,LTO,NL,3,1,0
1981,WS,YMG,AL,NPH,NL,4,2,0
1982,DS,SBL,NL,NPH,NL,3,1,0
1982,WS,SBL,NL,CHD,AL,4,2,0
1983,WS,SBL,NL,YMG,AL,4,3,0
1984,WS,HRC,AL,HKB,NL,4,3,0
1985,WS,HNT,AL,SBL,NL,4,2,0
1986,WS,SBL,NL,HRC,AL,4,3,0
1987,WS,SBL,NL,YMG,AL,4,2,0
1988,WS,SBL,NL,CHD,AL,4,1,0
1989,WS,YMG,AL,OBF,NL,4,3,0
1991,WS,SBL,NL,HRC,AL,4,3,0
1992,WS,SBL,NL,YKS,AL,4,3,0
1993,WS,YKS,AL,SBL,NL,4,3,0
1994,WS,YMG,AL,SBL,NL,4,2,0
1995,WS,YKS,AL,OBW,NL,4,1,0
1996,WS,OBW,NL,YMG,AL,4,1,0
1997,WS,YKS,AL,SBL,NL,4,1,0
1998,WS,DNB,AL,SBL,NL,4,2,0
1999,WS,SBH,NL,CHD,AL,4,1,0
2000,WS,YMG,AL,SBH,NL,4,2,0
2001,WS,YKS,AL,OBF,NL,4,1,0
2003,WS,SBH,NL,HNT,AL,4,3,0
2004,WS,SBL,NL,CHD,AL,4,3,0
2006,WS,NPH,NL,CHD,AL,4,1,0
2007,CS,CHD,AL,NPH,NL,3,3,0
2007,DS,CHD,AL,LTM,NL,2,2,0
2007,WS,CHD,AL,NPH,NL,4,1,0
2008,CS,SBL,NL,YMG,AL,3,2,0
2008,DS,CHD,AL,NPH,NL,2,2,0
2008,WS,SBL,NL,YMG,AL,4,3,0
2009,CS,YMG,AL,NPH,NL,3,3,0
2009,DS,CHD,AL,RKE,NL,2,2,0
2009,WS,YMG,AL,NPH,NL,4,2,0
2010,CS,LTM,NL,CHD,AL,4,3,0
2010,DS,YMG,AL,LTM,NL,2,2,0
2010,WS,LTM,NL,CHD,AL,4,2,0
2011,CS,CHD,AL,SBH,NL,3,3,0
2011,DS,YKS,AL,SBL,NL,2,2,0
2011,WS,SBH,NL,CHD,AL,4,3,0
2012,CS,CHD,AL,YMG,AL,3,3,0
2012,DS,CHD,AL,SBH,NL,2,2,0
2012,WS,YMG,AL,NPH,NL,4,2,0
2013,CS,YMG,AL,RKE,NL,3,3,0
2013,DS,HRC,AL,LTM,NL,2,2,0
2013,WS,RKE,NL,YMG,AL,4,3,0
2014,CS,HNT,AL,SBH,NL,4,3,0
2014,DS,NPH,NL,HNT,AL,2,1,0
2014,WS,SBH,NL,HNT,AL,4,1,0
2015,CS,YKS,AL,SBH,NL,3,3,0
2015,DS,YMG,AL,LTM,NL,2,2,0
2015,WS,SBH,NL,YKS,AL,4,1,0
2016,CS,HRC,AL,NPH,NL,3,3,0
2016,DS,DNB,AL,SBH,NL,2,2,0
2016,WS,NPH,NL,HRC,AL,4,2,0
2017,CS,DNB,AL,SBH,NL,4,3,0
2017,DS,DNB,AL,RKE,NL,2,2,0
2017,WS,SBH,NL,DNB,AL,4,2,0
2018,CS,SBH,NL,HRC,AL,4,3,0
2018,DS,YMG,AL,SBH,NL,2,2,0
2018,WS,SBH,NL,HRC,AL,4,1,0
2019,CS,SBH,NL,YMG,AL,4,3,0
2019,DS,HNT,AL,SBH,NL,2,2,0
2021,CS,YKS,AL,OBF,NL,2,2,0
2021,DS,YMG,AL,LTM,NL,2,1,0
2021,WS,YKS,AL,OBF,NL,4,2,0
2022,CS,YKS,AL,OBF,NL,3,3,0
2022,DS,HNT,AL,SBH,NL,2,2,0
2022,WS,OBF,NL,YKS,AL,4,2,0
2023,CS,HNT,AL,OBF,NL,3,3,0
2023,DS,HRC,AL,LTM,NL,2,2,0
2023,WS,HNT,AL,OBF,NL,4,3,0
2024,CS,DNB,AL,SBH,NL,4,3,0
2024,DS,DNB,AL,NPH,NL,2,2,0
2024,WS,DNB,AL,SBH,NL,4,2,0
2025,CS,HNT,AL,SBH,NL,3,3,0
2025,DS,DNB,AL,NPH,NL,2,2,0
2025,WS,SBH,NL,HNT,AL,4,1,0
