LahmanPlayerID,Year,UniNo,dummy,dummy,dummy,dummy
aaburxx01,2013,125,,,,
aaburxx01,2014,72,,,,
aaburxx01,2016,33,,,,
abreual01,2024,54,,,,
aquinar01,2023,9,,,,
alberan01,2018,27,,,,
alberan01,2019,27,,,,
alberan01,2020,27,,,,
alcanar01,2022,6,,,,
alcanar01,2023,6,,,,
burnsad01,2008,31,,,,
burnsad01,2009,31,,,,
bassan01,2016,52,,,,
vanhean01,2016,47,,,,
baldiaa01,2008,52,,,,
baldiaa01,2009,52,,,,
baldiaa01,2010,52,,,,
baldiaa01,2011,52,,,,
baldiaa01,2012,52,,,,
baldiaa01,2013,52,,,,
baldiaa01,2014,52,,,,
baldiaa01,2015,52,,,,
baldoal01,2023,49,,,,
baldoal01,2024,49,,,,
baldoal01,2025,49,,,,
bassad01,2007,50,,,,
abeha01,1949,14,,,,
abeha01,1950,14,,,,
abeha01,1951,14,,,,
abeha01,1952,14,,,,
abeha01,1953,14,,,,
abeha01,1954,14,,,,
abeha01,1955,14,,,,
abeha01,1956,14,,,,
abeha01,1957,14,,,,
abeha01,1958,14,,,,
abeha01,1959,14,,,,
abeju01,1936,19,,,,
abeju01,1937,19,,,,
abeka02,2008,60,,,,
abeka02,2009,60,,,,
abeka02,2010,60,,,,
abeka02,2011,60,,,,
abeka02,2012,60,,,,
abeka02,2013,60,,,,
abeka02,2014,60,,,,
abeka02,2015,60,,,,
abeka02,2016,60,,,,
abeka02,2017,60,,,,
abeka02,2018,60,,,,
abeka02,2019,60,,,,
abeka03,1960,14,,,,
abeka03,1961,14,,,,
abeka03,1962,14,,,,
abeka03,1963,14,,,,
abeka03,1964,14,,,,
abeka03,1965,14,,,,
abeka03,1966,14,,,,
abeka03,1967,14,,,,
abeka03,1968,14,,,,
abeka03,1969,14,,,,
abeke02,2003,48,,,,
abeke02,2004,48,,,,
abeke02,2005,48,,,,
abeke02,2006,48,,,,
abeke02,2007,48,,,,
abeke02,2008,56,,,,
abeke02,2009,56,,,,
abeke02,2010,56,,,,
abeke02,2011,56,,,,
abeke02,2012,58,,,,
abeke02,2013,58,,,,
abeke02,2014,58,,,,
abeke02,2015,107,,,,
abeke03,1984,54,,,,
abeke03,1985,54,,,,
abeke03,1986,54,,,,
abeke03,1987,54,,,,
abeke03,1988,54,,,,
abeke04,1971,38,,,,
abeke04,1972,64,,,,
abeke04,1973,54,,,,
abeke04,1974,54,,,,
abema02,2001,41,,,,
abema02,2002,41,,,,
abema02,2003,41,,,,
abema02,2004,41,,,,
abema02,2005,4,,,,
abema02,2006,4,,,,
abema02,2007,4,,,,
abema02,2008,4,,,,
abema02,2009,4,,,,
abema02,2010,9,,,,
abema02,2011,9,,,,
abema02,2012,9,,,,
abena01,1965,29,,,,
abena01,1966,29,,,,
abena01,1967,29,,,,
abena01,1968,68,,,,
abena01,1969,68,,,,
abena01,1970,68,,,,
abena01,1971,47,,,,
abena01,1972,47,,,,
abena01,1973,38,,,,
abena01,1974,38,,,,
abena01,1975,38,,,,
abena01,1976,38,,,,
abena01,1977,38,,,,
abena01,1978,38,,,,
abena01,1979,38,,,,
abena01,1980,38,,,,
abena01,1981,38,,,,
abena02,1952,20,,,,
abeos01,1981,36,,,,
abeos01,1982,36,,,,
abeos01,1983,36,,,,
abeos01,1984,36,,,,
abeos01,1985,36,,,,
abeos01,1986,6,,,,
abeos01,1987,25,,,,
abeos01,1988,25,,,,
abeos01,1989,25,,,,
abeos01,1990,25,,,,
abeos01,1991,25,,,,
abeos01,1992,25,,,,
abeos01,1993,25,,,,
