yearID,lgID,teamID,franchID,name,park,attendance,BA,2B,3B,HR,teamIDBR,teamIDlahman45,teamIDretro,Capacity,Type,Surface,LLd,LFd,LCd,CFd,RCd,RFd,RLd,LLh,LFh,LCh,CFh,RCh,RFh,RLh,BA LH,2B LH,3B LH,HR LH,BA RH,2B RH,3B RH,HR RH,BA Overall,2B Overall,3B Overall,HR Overall,path
1936,AL,CHD,CHD,Nagoya Dragons,Narumi Stadium,15000,1.186047,1.0,3.0,1.722222,CHD,CHD,CHD,15000,o,g,299,299,348,387,348,299,299,10,10,10,10,10,10,10,1.186047,1.0,3.0,1.722222,1.186047,1.0,3.0,1.722222,1.186047,1.0,3.0,1.722222,
1936,AL,DTK,DTK,Tokyo Dai-Tokyo,Korakuen Stadium,42337,1.0,1.0,1.0,1.0,DTK,DTK,DTK,42337,o,g,299,299,346,394,346,299,299,11,11,11,11,11,11,11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,models/korakuen_stadium
1936,AL,HKB,HKB,Nishinomiya Braves,Hankyu Nishinomiya Stadium,35000,1.0,1.0,1.0,1.0,HKB,HKB,HKB,35000,o,a,331,331,361,390,361,331,331,10,10,10,10,10,10,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,models/nishinomiya_stadium
1936,AL,HNT,HNT,Osaka Tigers,Hanshin Koshien Stadium,47508,0.971963,0.975,0.88,0.947205,HNT,HNT,HNT,47508,o,g,312,312,387,387,387,312,312,9,9,9,9,9,9,9,0.971963,0.975,0.88,0.947205,0.971963,0.975,0.88,0.947205,0.971963,0.975,0.88,0.947205,
1936,AL,KNS,KNS,Nagoya Kinshachi,Narumi Stadium,15000,1.186047,1.0,3.0,1.722222,KNS,KNS,KNS,15000,o,g,299,299,348,387,348,299,299,10,10,10,10,10,10,10,1.186047,1.0,3.0,1.722222,1.186047,1.0,3.0,1.722222,1.186047,1.0,3.0,1.722222,
1936,AL,TKS,TKS,Tokyo Senators,Korakuen Stadium,42337,1.0,1.0,1.0,1.0,TKS,TKS,TKS,42337,o,g,299,299,346,394,346,299,299,11,11,11,11,11,11,11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,models/korakuen_stadium
1936,AL,YMG,YMG,Tokyo Giants,Korakuen Stadium,42337,1.0,1.0,1.0,1.0,YMG,YMG,YMG,42337,o,g,299,299,346,394,346,299,299,11,11,11,11,11,11,11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,models/korakuen_stadium
1937,AL,CHD,CHD,Nagoya Dragons,Narumi Stadium,15000,1.0,1.0,1.0,1.0,CHD,CHD,CHD,15000,o,g,299,299,348,387,348,299,299,10,10,10,10,10,10,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
1937,AL,DTK,DTK,Tokyo Dai-Tokyo,Korakuen Stadium,42337,1.0,1.0,1.0,1.0,DTK,DTK,DTK,42337,o,g,299,299,346,394,346,299,299,11,11,11,11,11,11,11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,models/korakuen_stadium
1937,AL,EGL,EGL,Tokyo Eagles,Korakuen Stadium,42337,1.0,1.0,1.0,1.0,EGL,EGL,EGL,42337,o,g,299,299,346,394,346,299,299,11,11,11,11,11,11,11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,models/korakuen_stadium
