playerID,yearID,stint,teamID,lgID,POS,G,GS,InnOuts,PO,A,E,DP,PB,WP,SB,CS,ZR
abadan01,2000,1,KNB,NL,1B,19,,,157,14,3,14,,,,,
abbotky01,1994,1,KNB,NL,P,4,,,2,1,0,0,,,,,
abeha01,1949,1,HKB,AL,P,29,,,3,9,1,1,,,,,
abeha01,1950,1,HKB,NL,P,53,,,6,42,1,2,,,,,
abeha01,1951,1,HKB,NL,P,40,,,5,60,3,3,,,,,
abeha01,1953,1,HKB,NL,P,23,,,4,43,0,3,,,,,
abeha01,1954,1,HKB,NL,P,25,,,3,22,1,0,,,,,
abeha01,1955,1,HKB,NL,P,46,,,1,45,1,3,,,,,
abeha01,1956,1,HKB,NL,P,44,,,5,33,3,3,,,,,
abeha01,1957,1,HKB,NL,P,28,,,2,25,1,4,,,,,
abeha01,1958,1,HKB,NL,OF,1,,,1,1,0,0,,,,,
abeha01,1958,1,HKB,NL,P,22,,,2,17,0,1,,,,,
abeha01,1959,1,NSL,NL,P,28,,,0,9,0,0,,,,,
abeka02,2011,1,LTM,NL,P,3,,,1,2,0,0,,,,,
abeka02,2012,1,LTM,NL,P,6,,,1,5,0,0,,,,,
abeka02,2013,1,LTM,NL,P,5,,,0,3,0,1,,,,,
abeka02,2015,1,LTM,NL,P,14,,,0,3,0,0,,,,,
abeka02,2016,1,LTM,NL,P,13,,,3,2,0,0,,,,,
abeka02,2017,1,LTM,NL,P,2,,,0,0,0,0,,,,,
abeka02,2018,1,LTM,NL,P,5,,,0,0,0,0,,,,,
abeka02,2019,1,LTM,NL,P,4,,,0,1,0,0,,,,,
abeka03,1962,1,NSL,NL,P,9,,,1,3,0,0,,,,,
abeka03,1963,1,NSL,NL,P,53,,,13,27,1,0,,,,,
abeka03,1964,1,NSL,NL,LF,1,,,0,0,0,0,,,,,
abeka03,1964,1,NSL,NL,P,49,,,9,62,4,2,,,,,
abeka03,1965,1,NSL,NL,P,40,,,8,30,0,1,,,,,
abeka03,1966,1,HNT,AL,P,29,,,4,23,1,2,,,,,
abeka03,1967,1,HNT,AL,P,24,,,1,15,2,0,,,,,
abeka03,1968,1,HNT,AL,P,20,,,2,8,1,1,,,,,
abeka03,1969,1,HNT,AL,P,1,,,0,0,0,0,,,,,
abeke02,2003,1,KNB,NL,P,5,,,2,3,0,0,,,,,
abeke02,2004,1,KNB,NL,P,2,,,1,1,0,0,,,,,
abeke02,2005,1,OBF,NL,P,3,,,0,0,0,0,,,,,
abeke02,2006,1,OBF,NL,P,5,,,2,2,0,0,,,,,
abeke02,2008,1,HNT,AL,P,32,,,4,16,0,1,,,,,
abeke02,2009,1,HNT,AL,P,19,,,3,8,1,1,,,,,
abeke02,2012,1,YKS,AL,P,15,,,1,2,0,0,,,,,
abeke02,2013,1,YKS,AL,P,18,,,1,3,0,0,,,,,
abeke02,2014,1,YKS,AL,P,11,,,0,3,0,0,,,,,
abeke03,1984,1,HRC,AL,2B,1,,,0,1,0,0,,,,,
abeke03,1986,1,HRC,AL,2B,3,,,1,2,0,0,,,,,
abeke03,1986,1,HRC,AL,3B,7,,,3,5,0,0,,,,,
abeke03,1988,1,HRC,AL,2B,1,,,2,0,0,0,,,,,
abeke03,1988,1,HRC,AL,3B,1,,,0,1,0,0,,,,,
abeke04,1973,1,LTO,NL,C,1,,,8,1,0,0,0,,,,
abeke04,1973,1,LTO,NL,LF,2,,,0,0,0,0,,,,,
abeke04,1974,1,LTO,NL,C,1,,,0,0,0,0,0,,,,
abeke04,1974,1,LTO,NL,LF,2,,,0,0,0,0,,,,,
abema01,2001,1,KNB,NL,2B,16,,,22,24,2,7,,,,,
abema01,2001,1,KNB,NL,SS,30,,,28,51,2,14,,,,,
abema01,2002,1,KNB,NL,2B,28,,,12,14,0,2,,,,,
abema01,2002,1,KNB,NL,3B,2,,,0,0,0,0,,,,,
abema01,2002,1,KNB,NL,SS,118,,,131,302,12,42,,,,,
abema01,2003,1,KNB,NL,2B,63,,,21,40,0,4,,,,,
abema01,2003,1,KNB,NL,SS,111,,,141,289,8,67,,,,,
abema01,2004,1,KNB,NL,1B,1,,,2,0,0,0,,,,,
abema01,2004,1,KNB,NL,2B,4,,,4,5,0,1,,,,,
abema01,2004,1,KNB,NL,SS,118,,,197,360,7,84,,,,,
abema01,2005,1,OBF,NL,1B,2,,,3,1,0,0,,,,,
abema01,2005,1,OBF,NL,2B,4,,,8,9,0,2,,,,,
abema01,2005,1,OBF,NL,3B,10,,,5,19,0,0,,,,,
abema01,2005,1,OBF,NL,SS,118,,,155,303,7,64,,,,,
abema01,2006,1,OBF,NL,2B,19,,,32,53,1,8,,,,,
abema01,2006,1,OBF,NL,SS,49,,,66,179,4,34,,,,,
abema01,2007,1,OBF,NL,2B,69,,,145,216,4,35,,,,,
abema01,2007,1,OBF,NL,3B,1,,,0,0,0,0,,,,,
abema01,2007,1,OBF,NL,SS,7,,,5,31,0,2,,,,,
abema01,2008,1,OBF,NL,1B,8,,,20,1,0,2,,,,,
abema01,2008,1,OBF,NL,2B,27,,,37,64,2,9,,,,,
abema01,2008,1,OBF,NL,3B,7,,,3,2,1,0,,,,,
abema01,2008,1,OBF,NL,SS,13,,,17,20,2,7,,,,,
abema01,2009,1,OBF,NL,1B,1,,,2,0,0,0,,,,,
abema01,2009,1,OBF,NL,2B,27,,,63,71,2,16,,,,,
abema01,2009,1,OBF,NL,3B,19,,,8,27,3,3,,,,,
abema01,2010,1,SBL,NL,1B,5,,,7,0,1,2,,,,,
abema01,2010,1,SBL,NL,2B,4,,,7,8,0,0,,,,,
abema01,2010,1,SBL,NL,3B,52,,,27,62,4,3,,,,,
abema01,2010,1,SBL,NL,SS,1,,,0,0,2,0,,,,,
abema01,2011,1,SBL,NL,1B,1,,,9,0,0,0,,,,,
abema01,2011,1,SBL,NL,2B,8,,,9,9,0,3,,,,,
abema01,2011,1,SBL,NL,3B,1,,,1,1,0,0,,,,,
abema01,2012,1,SBL,NL,1B,4,,,23,2,0,0,,,,,
abema01,2012,1,SBL,NL,2B,3,,,3,1,1,0,,,,,
abena01,1965,1,TYW,AL,CF,1,,,0,0,0,0,,,,,
abena01,1966,1,TYW,AL,C,1,,,0,0,0,0,0,,,,
abena01,1967,1,TYW,AL,CF,3,,,0,0,0,0,,,,,
abena01,1969,1,TYW,AL,1B,1,,,0,0,0,0,,,,,
abena01,1969,1,TYW,AL,P,2,,,0,1,0,0,,,,,
abena01,1971,1,YMG,AL,CF,4,,,4,0,0,0,,,,,
abena01,1974,1,KNB,NL,CF,80,,,60,3,0,0,,,,,
abena01,1975,1,KNB,NL,CF,127,,,338,6,7,3,,,,,
abena01,1976,1,KNB,NL,CF,121,,,236,6,1,1,,,,,
abena01,1977,1,KNB,NL,CF,62,,,91,0,1,0,,,,,
abena01,1978,1,KNB,NL,CF,32,,,22,1,1,0,,,,,
abena01,1979,1,KNB,NL,CF,75,,,106,2,1,1,,,,,
abena01,1980,1,KNB,NL,CF,19,,,33,0,0,0,,,,,
abena01,1981,1,KNB,NL,CF,16,,,5,0,0,0,,,,,
abena02,1952,1,NSL,NL,1B,1,,,0,0,0,0,,,,,
abena02,1952,1,NSL,NL,P,1,,,0,0,1,0,,,,,
abeos01,1984,1,SBL,NL,1B,8,,,53,7,0,3,,,,,
abeos01,1985,1,SBL,NL,1B,19,,,47,4,0,3,,,,,
abeos01,1985,1,SBL,NL,LF,4,,,7,0,0,0,,,,,
abeos01,1987,1,SBL,NL,1B,5,,,24,3,1,2,,,,,
abeos01,1987,1,SBL,NL,LF,66,,,89,3,2,1,,,,,
abeos01,1988,1,SBL,NL,1B,5,,,35,4,0,2,,,,,
abeos01,1988,1,SBL,NL,LF,66,,,86,1,1,0,,,,,
abeos01,1989,1,SBL,NL,1B,2,,,18,0,0,1,,,,,
abeos01,1989,1,SBL,NL,LF,13,,,7,0,1,0,,,,,
abeos01,1990,1,SBL,NL,1B,2,,,2,1,0,0,,,,,
abeos01,1990,1,SBL,NL,LF,18,,,18,0,0,0,,,,,
abeos01,1991,1,SBL,NL,1B,2,,,8,1,0,1,,,,,
abeos01,1991,1,SBL,NL,LF,18,,,18,0,0,0,,,,,
abeos01,1992,1,SBL,NL,1B,2,,,3,0,0,0,,,,,
abeos01,1992,1,SBL,NL,LF,76,,,89,1,3,0,,,,,
abeos01,1993,1,SBL,NL,1B,2,,,9,1,0,0,,,,,
abeos01,1993,1,SBL,NL,LF,36,,,26,2,1,0,,,,,
abeos01,1994,1,SBL,NL,1B,5,,,4,0,0,0,,,,,
abeos01,1994,1,SBL,NL,LF,57,,,58,1,2,0,,,,,
abeos01,1995,1,SBL,NL,1B,4,,,7,0,0,1,,,,,
abeos01,1995,1,SBL,NL,LF,6,,,8,0,0,0,,,,,
abeos01,1996,1,SBL,NL,LF,1,,,1,0,0,0,,,,,
abeos01,1997,1,KNB,NL,1B,38,,,246,15,0,30,,,,,
abeos01,1997,1,KNB,NL,LF,13,,,23,1,0,0,,,,,
abeos01,1998,1,KNB,NL,1B,34,,,218,11,0,19,,,,,
abeos01,1998,1,KNB,NL,LF,5,,,6,0,0,0,,,,,
abeos01,1999,1,KNB,NL,1B,5,,,14,0,0,1,,,,,
abesh01,2021,1,OBF,NL,P,4,,,0,0,0,0,,,,,
abesh01,2022,1,OBF,NL,P,44,,,2,2,2,0,,,,,
abesh01,2023,1,OBF,NL,P,49,,,2,6,0,0,,,,,
abesh01,2024,1,OBF,NL,P,17,,,0,4,0,0,,,,,
abesh01,2025,1,OBF,NL,P,16,,,1,1,0,1,,,,,
abesh02,2001,1,YMG,AL,C,125,,,846,63,4,8,6,,,,
abesh02,2002,1,YMG,AL,C,126,,,1013,65,6,15,9,,,,
abesh02,2003,1,YMG,AL,C,93,,,772,51,7,4,4,,,,
abesh02,2004,1,YMG,AL,C,108,,,894,56,2,10,4,,,,
abesh02,2005,1,YMG,AL,1B,32,,,263,14,3,14,,,,,
