playerid,lahmanID,managerID,hofID,birthYear,birthMonth,birthDay,birthCountry,birthState,birthCity,deathYear,deathMonth,deathDay,deathCountry,deathState,deathCity,namefirst,namelast,nameNote,nameGiven,nameNick,weight,Height,bats,throws,debut,finalGame,college,lahman40ID,lahman45ID,retroID,holtzID,BBrefMiLBid,DraftValue,Fastball,Changeup,Curve,Slider,Sinker,Splitter,Forkball,Cutter,Knuckleball,KnuckleCurve,CircleChange,Screwball,pexp,cexp,1bexp,2bexp,ssexp,3bexp,lfexp,cfexp,rfexp,infrange,inferror,infarm,infdp,cability,carm,ofrange,oferror,ofarm,Ethnicity,Arm Slot
aaburxx01,aaburxx01,,,,,,Japan,,,,,,,,,,,,Abreu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abadan01,abadan01,,,1972,08,25,United States,,,,,,,,,Andy,Abad,,Ａ．エイバッド,,181,73,L,L,2000,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abbotky01,abbotky01,,,1968,02,18,United States,,,,,,,,,Kyle,Abbott,,Ｋ．アボット,,194,76,L,L,1994,1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abeha01,abeha01,,,1925,01,06,Japan,,,,,,,,,Hachiro,Abe,,阿部 八郎,,143,67,L,L,1949,1959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abeju01,abeju01,,,1917,09,02,Japan,,,,,,,,,Jushiro,Abe,,阿部 重四郎,,,,,,1936,1937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abeka01,abeka01,,,2003,05,12,Japan,,,,,,,,,Kazuhiro,Abe,,阿部 和広,,146,67,B,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abeka02,abeka02,,,1989,05,19,Japan,,,,,,,,,Kazunari,Abe,,阿部 和成,,176,72,R,R,2008,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abeka03,abeka03,,,1940,04,07,Japan,,,,,,,,,Kazuharu,Abe,,安部 和春,,168,71,R,R,1960,1969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abeke01,abeke01,,,2002,05,17,Japan,,,,,,,,,Kenyu,Abe,,阿部 剣友,,236,79,L,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abeke02,abeke02,,,1984,09,08,Japan,,,,,,,,,Kenta,Abe,,阿部 健太,,170,72,L,R,2003,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
