YearID,League Name,LeagueAbbrev,Bbref Lg ID,Level Name,Level,levelbelow,num_divisions_subleague_1,name_sl1,Southern,Northern,name_div_3_sl1,name_div_4_sl1,num_divisions_subleague_2,name_sl2,name_div_1_sl2,name_div_2_sl2,name_div_3_sl2,name_div_4_sl2,GamesScheduled,SeasonFormat,PlayoffFormat,DHused,ActivePlayerLimit,UniqueID,Season Length,Have Schedule,Done Schedule,NegroLeague,ReserveRosterLimit
2008,Ni-Gun League,,,Farm,1,1,0,Eastern,,,,,0,Western,,,,,,,,,,,,,,,
2009,Ni-Gun League,,,Farm,1,1,0,Eastern,,,,,0,Western,,,,,,,,,,,,,,,
2010,Ni-Gun League,,,Farm,1,1,0,Eastern,,,,,0,Western,,,,,,,,,,,,,,,
2011,Ni-Gun League,,,Farm,1,1,0,Eastern,,,,,0,Western,,,,,,,,,,,,,,,
2012,Ni-Gun League,,,Farm,1,1,0,Eastern,,,,,0,Western,,,,,,,,,,,,,,,
2013,Ni-Gun League,,,Farm,1,1,0,Eastern,,,,,0,Western,,,,,,,,,,,,,,,
2014,Ni-Gun League,,,Farm,1,1,0,Eastern,,,,,0,Western,,,,,,,,,,,,,,,
2015,Ni-Gun League,,,Farm,1,1,0,Eastern,,,,,0,Western,,,,,,,,,,,,,,,
2016,Ni-Gun League,,,Farm,1,1,0,Eastern,,,,,0,Western,,,,,,,,,,,,,,,
2017,Ni-Gun League,,,Farm,1,1,0,Eastern,,,,,0,Western,,,,,,,,,,,,,,,
2018,Ni-Gun League,,,Farm,1,1,0,Eastern,,,,,0,Western,,,,,,,,,,,,,,,
2019,Ni-Gun League,,,Farm,1,1,0,Eastern,,,,,0,Western,,,,,,,,,,,,,,,
2020,Ni-Gun League,,,Farm,1,1,0,Eastern,,,,,0,Western,,,,,,,,,,,,,,,
2021,Ni-Gun League,,,Farm,1,1,0,Eastern,,,,,0,Western,,,,,,,,,,,,,,,
2022,Ni-Gun League,,,Farm,1,1,0,Eastern,,,,,0,Western,,,,,,,,,,,,,,,
2023,Ni-Gun League,,,Farm,1,1,0,Eastern,,,,,0,Western,,,,,,,,,,,,,,,
2024,Ni-Gun League,,,Farm,1,1,0,Eastern,,,,,0,Western,,,,,,,,,,,,,,,
2025,Ni-Gun League,,,Farm,1,1,0,Eastern,,,,,0,Western,,,,,,,,,,,,,,,
