BBRefMinorsID,Year,Stint,Team Name,LeagueName,W,L,G,GS,CG,SHO,SV,IP,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BF,GF,R,SH,SF,GIDP,LevelsBelow,ros_team_id,hist_team_id,OOTP Player ID
akasa08,2008,1,Nagoya Dragons,Western League,5,7,21,0,1,0,1,88,0,51,88,2,7,,49,47,48,1,4,393,,3,,,,1,CHD2,CHD2,
asaku08,2008,1,Nagoya Dragons,Western League,0,2,4,0,0,0,0,23,0,10,20,2,2,,9,4,15,0,0,96,,0,,,,1,CHD2,CHD2,
asaot08,2008,1,Nagoya Dragons,Western League,0,0,8,0,0,0,0,9,0,0,2,0,0,,0,2,7,0,0,33,,0,,,,1,CHD2,CHD2,
higuc08,2008,1,Nagoya Dragons,Western League,1,0,16,0,0,0,0,19,0,17,26,3,2,,17,11,10,0,2,96,,0,,,,1,CHD2,CHD2,
hirai08,2008,1,Nagoya Dragons,Western League,1,0,7,0,0,0,1,8,0,5,8,0,0,,5,5,5,0,0,37,,0,,,,1,CHD2,CHD2,
hisam08,2008,1,Nagoya Dragons,Western League,0,2,11,0,0,0,1,15,0,11,16,0,0,,11,14,15,1,2,74,,0,,,,1,CHD2,CHD2,
ishii08,2008,1,Nagoya Dragons,Western League,2,0,5,0,0,0,0,9,0,2,8,1,0,,2,1,8,0,0,36,,0,,,,1,CHD2,CHD2,
kawai08,2008,1,Nagoya Dragons,Western League,5,2,12,0,0,0,0,63,0,22,65,5,1,,19,11,30,0,3,263,,1,,,,1,CHD2,CHD2,
kikuc08,2008,1,Nagoya Dragons,Western League,0,5,39,0,0,0,1,45,0,27,55,1,1,,24,16,34,1,2,206,,0,,,,1,CHD2,CHD2,
kobay08,2008,1,Nagoya Dragons,Western League,0,0,4,0,0,0,0,5,0,6,10,1,1,,4,2,2,0,0,27,,0,,,,1,CHD2,CHD2,
kongo08,2008,1,Nagoya Dragons,Western League,2,1,22,0,0,0,3,27,0,6,19,3,1,,6,3,17,0,0,104,,0,,,,1,CHD2,CHD2,
nagam08,2008,1,Nagoya Dragons,Western League,2,1,6,0,0,0,0,38,0,8,27,2,0,,6,5,22,0,0,147,,1,,,,1,CHD2,CHD2,
nakat08,2008,1,Nagoya Dragons,Western League,0,0,2,0,0,0,0,10,0,3,6,0,0,,1,5,9,0,2,41,,0,,,,1,CHD2,CHD2,
nakaz08,2008,1,Nagoya Dragons,Western League,1,2,16,0,0,0,3,19,0,6,16,1,1,,6,4,13,0,0,77,,0,,,,1,CHD2,CHD2,
nelso08,2008,1,Nagoya Dragons,Western League,0,0,11,0,0,0,3,16,0,1,14,0,0,,1,3,17,0,0,64,,0,,,,1,CHD2,CHD2,
saito08,2008,1,Nagoya Dragons,Western League,0,1,15,0,0,0,1,15,0,9,19,1,2,,8,5,10,1,0,71,,0,,,,1,CHD2,CHD2,
satom08,2008,1,Nagoya Dragons,Western League,7,4,14,0,4,4,0,95,0,28,89,6,4,,28,17,59,0,3,385,,0,,,,1,CHD2,CHD2,
