playerID,yearID,stint,teamID,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP
abbotky01,1994,1,KNB,NL,0,0,4,4,0,0,0,35,25,10,0,9,8,,7.71,,0,0,0,65,0,11,,,
abeha01,1949,1,HKB,AL,2,6,29,11,1,0,0,279,99,56,8,52,44,,5.42,,2,1,0,416,13,62,,,
abeha01,1950,1,HKB,NL,14,18,53,37,14,4,0,834,251,109,16,104,156,,3.53,,2,1,2,1180,14,134,,,
abeha01,1951,1,HKB,NL,12,14,40,36,14,2,0,764,232,79,12,100,150,,2.79,,2,1,0,1098,4,102,,,
abeha01,1952,1,HKB,NL,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,
abeha01,1953,1,HKB,NL,11,4,23,15,8,2,0,445,121,31,6,41,90,,1.87,,3,2,0,594,7,38,,,
abeha01,1954,1,HKB,NL,6,6,25,18,6,0,0,376,121,46,8,36,71,,3.29,,2,1,1,522,4,57,,,
abeha01,1955,1,HKB,NL,15,11,46,24,10,2,0,638,172,52,10,85,124,,2.2,,0,3,1,874,16,74,,,
abeha01,1956,1,HKB,NL,14,12,44,27,6,2,0,575,172,53,8,51,108,,2.48,,2,0,0,775,9,60,,,
abeha01,1957,1,HKB,NL,6,8,28,22,7,4,0,368,121,42,4,30,61,,3.07,,1,0,0,508,5,46,,,
abeha01,1958,1,HKB,NL,6,8,22,13,2,1,0,247,82,27,3,18,27,,2.93,,1,0,1,334,4,28,,,
abeha01,1959,1,NSL,NL,0,1,28,2,0,0,0,100,39,15,4,11,19,,3.97,,1,1,0,148,6,17,,,
abeka02,2008,1,LTM,NL,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,
abeka02,2009,1,LTM,NL,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,
abeka02,2010,1,LTM,NL,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,
abeka02,2011,1,LTM,NL,0,2,3,3,0,0,0,25,17,12,1,7,3,,12.96,,0,2,0,50,0,12,,,
abeka02,2012,1,LTM,NL,0,2,6,4,0,0,0,82,28,12,3,5,6,,3.95,,0,0,0,111,0,13,,,
abeka02,2013,1,LTM,NL,2,0,5,4,0,0,0,64,25,10,1,10,7,,4.22,,0,1,0,91,1,10,,,
abeka02,2014,1,LTM,NL,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,
abeka02,2015,1,LTM,NL,1,1,14,1,0,0,0,60,26,10,3,8,11,,4.5,,2,0,0,89,8,10,,,
abeka02,2016,1,LTM,NL,0,0,13,0,0,0,0,52,22,9,2,11,6,,4.67,,0,0,0,85,7,10,,,
abeka02,2017,1,LTM,NL,0,0,2,0,0,0,0,6,3,3,2,1,1,,13.5,,0,0,0,10,2,3,,,
abeka02,2018,1,LTM,NL,0,1,5,0,0,0,0,12,4,1,0,4,2,,2.25,,0,0,0,21,3,3,,,
abeka02,2019,1,LTM,NL,0,0,4,0,0,0,0,12,1,0,0,2,2,,0.0,,0,0,0,14,2,0,,,
