yearID,lgID,teamID,franchID,divID,Rank,G,Ghome,W,L,Ties,LgWin,WSWin,R,AB,H,2B,3B,HR,BB,SO,SB,CS,HBP,SF,RA,ER,ERA,CG,SHO,SV,IPouts,HA,HRA,BBA,SOA,E,DP,FP,name,park,attendance,BPF,PPF,teamIDBR,teamIDlahman45,teamIDretro,hist_team_id,ros_team_id,unique_id
1936,AL,CHD,CHD,,5,95,35,42,53,0,,,385,1399,316,44,15,11,159,176,53,0,12,0,574,173,4.33,19,5,0,1079,350,5,267,117,99,98,,Nagoya Dragons,,0,,,,,,,,
1936,AL,DTK,DTK,,7,93,42,14,70,9,,,361,1352,270,31,12,0,205,210,51,0,11,0,628,177,4.46,22,0,0,1071,339,4,290,167,125,55,,Tokyo Dai-Tokyo,,0,,,,,,,,
1936,AL,HKB,HKB,,3,96,58,52,42,2,,,448,1672,413,61,15,13,249,206,74,0,4,0,369,123,2.53,25,6,0,1311,353,4,180,184,105,93,,Nishinomiya Braves,,0,,,,,,,,
1936,AL,HNT,HNT,,1,99,52,69,27,3,Y,,581,1601,429,77,16,10,242,153,74,0,5,0,300,108,2.34,25,6,0,1244,314,6,160,222,93,83,,Osaka Tigers,,0,,,,,,,,
1936,AL,KNS,KNS,,6,75,31,28,43,4,,,307,1334,289,38,11,3,200,187,74,0,10,0,371,132,3.4,15,1,0,1047,284,7,246,240,90,84,,Nagoya Kinshachi,,0,,,,,,,,
1936,AL,TKS,TKS,,4,98,61,53,45,0,,,454,1506,310,52,19,5,277,236,85,0,12,0,410,147,3.23,18,1,0,1229,395,12,178,160,111,153,,Tokyo Senators,,0,,,,,,,,
1936,AL,YMG,YMG,,2,74,36,48,26,0,,,311,1120,242,54,14,3,155,140,60,0,7,0,195,62,1.82,16,6,0,918,221,6,144,221,61,40,,Tokyo Giants,,0,,,,,,,,
1937,AL,CHD,CHD,,9,105,51,34,68,3,,,351,3539,782,116,37,5,421,384,76,0,10,0,570,423,4.07,43,6,0,2805,894,23,573,288,222,377,,Nagoya Dragons,,0,,,,,,,,
1937,AL,DTK,DTK,,6,56,29,21,31,4,,,202,1885,414,62,25,8,211,240,92,0,7,0,289,167,3.01,30,3,0,1498,456,4,359,203,165,127,,Tokyo Dai-Tokyo,,0,,,,,,,,
1937,AL,EGL,EGL,,8,105,52,40,63,2,,,441,3517,810,130,35,17,475,459,81,0,31,0,559,373,3.64,67,7,0,2765,891,24,525,363,242,278,,Tokyo Eagles,,0,,,,,,,,
1937,AL,HKB,HKB,,5,105,53,45,55,5,,,449,3494,772,109,26,26,564,442,123,0,23,0,460,343,3.29,49,3,0,2817,806,21,510,393,207,262,,Nishinomiya Braves,,0,,,,,,,,
1937,AL,HNT,HNT,,1,105,52,80,23,2,Y,,626,3606,907,174,66,23,633,369,140,0,27,0,299,197,1.86,49,9,0,2853,769,10,335,443,187,292,,Osaka Tigers,,0,,,,,,,,
1937,AL,KNS,KNS,,4,105,52,48,55,2,,,433,3314,767,100,46,18,455,348,168,0,20,0,457,334,3.2,51,10,0,2814,787,15,589,373,242,272,,Nagoya Kinshachi,,0,,,,,,,,
1937,AL,LIO,LIO,,7,49,27,19,29,1,,,219,1627,380,56,22,12,220,180,73,0,8,0,284,217,4.45,22,1,0,1317,402,18,314,193,116,143,,Tokyo Lion,,0,,,,,,,,
